sale_id,customer_id,station_id,product_id,payment_id,employee_id,sale_date,quantity,unit_price,total_amount
SL1000,C001,S06,P03,PM02,E02,2026-06-01,9.88,1.1102,
SL1001,C008,S01,P05,PM04,E01,2026-06-01,1.0,4.9719,4.97
SL1002,C008,S05,P01,PM02,E04,2026-06-01,12.72,0.9589,12.2
SL1003,C003,S06,P04,PM03,E03,2026-06-02,10.44,0.9457,9.87
SL1004,C006,S01,P01,PM04,E01,2026-06-02,17.56,0.9344,16.41
SL1005,C005,S01,P06,PM04,E01,2026-06-02,3.0,4.9879,14.96
SL1006,C010,S05,P07,PM03,E02,2026-06-03,2.0,4.9546,9.91
SL1007,C004,S03,P01,PM02,E01,2026-06-03,18.3,0.9453,17.3
SL1008,C006,S02,P03,PM03,E02,2026-06-03,28.46,1.1702,33.3
SL1009,C010,S06,P01,PM02,E02,2026-06-03,10.72,0.9379,10.05
SL1010,C010,S06,P05,PM02,E03,2026-06-03,3.0,5.0276,15.08
SL1011,C001,S03,P04,PM03,E01,2026-06-04,12.38,0.9443,11.69
SL1012,C006,S02,P06,PM04,E04,2026-06-04,3.0,5.0143,15.04
SL1013,C003,S03,P02,PM02,E03,2026-06-04,31.15,1.0428,32.48
SL1014,C009,S04,P03,PM02,E02,2026-06-04,22.83,1.1091,25.32
SL1015,C002,S02,P06,PM02,E04,2026-06-05,2.0,4.9885,
SL1016,C009,S04,P05,PM03,E01,2026-06-05,2.0,4.9615,9.92
SL1017,C008,S03,P07,PM03,E01,2026-06-05,2.0,4.9658,9.93
SL1018,C005,S05,P07,PM02,E01,2026-06-06,3.0,4.9798,14.94
SL1019,C010,S05,P05,PM02,E02,2026-06-06,2.0,4.9662,9.93
SL1020,C008,S01,P05,PM03,E04,2026-06-06,1.0,5.0429,5.04
SL1021,C004,S01,P02,PM01,E01,2026-06-07,30.62,1.0816,33.12
SL1022,C008,S02,P02,PM04,E02,2026-06-07,14.28,1.0872,15.53
SL1023,C002,S02,P05,PM02,E03,2026-06-07,2.0,5.0172,10.03
SL1024,C006,S04,P05,PM04,E01,2026-06-07,1.0,4.9564,4.96
SL1025,C001,S05,P05,PM02,E02,2026-06-07,1.0,5.0208,5.02
SL1026,C004,S01,P01,PM03,E01,2026-06-08,23.0,0.9278,21.34
SL1027,C007,S02,P05,PM02,E04,2026-06-08,1.0,4.9973,5.0
SL1028,C002,S02,P01,PM01,E04,2026-06-08,17.4,0.9411,16.38
SL1029,C010,S06,P06,PM01,E01,2026-06-09,2.0,4.9839,9.97
SL1030,C002,S02,P02,PM02,E04,2026-06-09,9.91,1.0183,
SL1031,C007,S02,P07,PM01,E04,2026-06-09,3.0,5.0356,15.11
SL1032,C001,S06,P05,PM01,E01,2026-06-10,3.0,5.0349,15.1
SL1033,C003,S04,P04,PM04,E02,2026-06-10,35.26,0.9402,33.15
SL1034,C003,S04,P01,PM04,E03,2026-06-10,37.43,0.9785,36.63
SL1035,C002,S06,P06,PM04,E02,2026-06-11,1.0,4.9718,4.97
SL1036,C001,S05,P06,PM01,E03,2026-06-11,1.0,5.0084,5.01
SL1037,C008,S05,P02,PM01,E01,2026-06-11,34.8,1.0069,35.04
SL1038,C002,S06,P07,PM02,E04,2026-06-11,1.0,5.039,5.04
SL1039,C004,S05,P05,PM01,E01,2026-06-11,2.0,5.0084,10.02
SL1040,C005,S02,P06,PM03,E02,2026-06-12,2.0,4.9631,9.93
SL1041,C010,S03,P04,PM03,E01,2026-06-12,5.33,0.9121,4.86
SL1042,C009,S01,P01,PM02,E03,2026-06-12,9.64,0.9349,9.01
SL1043,C002,S02,P03,PM03,E02,2026-06-12,20.34,1.1543,23.48
SL1044,C005,S05,P07,PM01,E03,2026-06-12,3.0,4.9604,14.88
SL1045,C005,S01,P01,PM02,E03,2026-06-13,14.86,0.9211,
SL1046,C006,S02,P06,PM03,E04,2026-06-13,2.0,5.0408,10.08
SL1047,C001,S01,P06,PM04,E03,2026-06-13,1.0,4.9834,4.98
SL1048,C003,S06,P03,PM02,E04,2026-06-13,24.31,1.1428,27.78
SL1049,C002,S01,P06,PM02,E01,2026-06-14,3.0,5.0083,15.02
SL1050,C003,S04,P02,PM01,E03,2026-06-14,17.76,1.0933,19.42
SL1051,C001,S03,P02,PM02,E01,2026-06-14,17.38,1.056,18.35
SL1052,C009,S06,P02,PM02,E02,2026-06-15,39.17,1.0811,42.35
SL1053,C002,S01,P02,PM03,E04,2026-06-15,33.08,1.0864,35.94
SL1054,C004,S03,P02,PM01,E04,2026-06-15,35.53,1.0859,38.58
SL1055,C004,S02,P07,PM04,E03,2026-06-15,2.0,5.0295,10.06
SL1056,C004,S02,P01,PM02,E04,2026-06-15,16.49,0.9864,16.27
SL1057,C005,S03,P06,PM04,E03,2026-06-15,3.0,4.9615,14.88
SL1058,C003,S05,P03,PM01,E01,2026-06-16,25.88,1.1346,29.36
